song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_taylor_swift_the_fate_of_ophelia,The Fate of Ophelia,Taylor Swift,23166,0,1,2025-10-05
am_taylor_swift_opalite,Opalite,Taylor Swift,21270,0,2,2025-10-05
am_taylor_swift_elizabeth_taylor,Elizabeth Taylor,Taylor Swift,20742,0,3,2025-10-05
am_taylor_swift_father_figure,Father Figure,Taylor Swift,19265,0,4,2025-10-05
am_taylor_swift_eldest_daughter,Eldest Daughter,Taylor Swift,17780,0,5,2025-10-05
am_taylor_swift_the_life_of_a_showgirl,The Life of a Showgirl,Taylor Swift,17512,0,6,2025-10-05
am_taylor_swift_cancelled,CANCELLED,Taylor Swift,17496,0,7,2025-10-05
am_taylor_swift_actually_romantic,Actually Romantic,Taylor Swift,17270,0,8,2025-10-05
am_taylor_swift_wi$h_li$t,Wi$h Li$t,Taylor Swift,17114,0,9,2025-10-05
am_taylor_swift_wood,Wood,Taylor Swift,17078,0,10,2025-10-05
am_taylor_swift_ruin_the_friendship,Ruin The Friendship,Taylor Swift,16273,0,11,2025-10-05
"am_huntr/x,_ejae,_audrey_nuna,_rei_ami_&_kpop_demon_hunters_cast_golden",Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",15960,0,12,2025-10-05
am_taylor_swift_honey,Honey,Taylor Swift,14782,0,13,2025-10-05
"am_saja_boys,_andrew_choi,_neckwav,_danny_chung,_kevin_woo,_samuil_lee_&_kpop_demon_hunters_cast_sod",Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",10174,0,14,2025-10-05
am_alex_warren_ordinary,Ordinary,Alex Warren,9865,0,15,2025-10-05
"am_huntr/x,_ejae,_audrey_nuna,_rei_ami_&_kpop_demon_hunters_cast_how_it’s_done",How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",7909,0,16,2025-10-05
"am_saja_boys,_andrew_choi,_neckwav,_danny_chung,_kevin_woo,_samuil_lee_&_kpop_demon_hunters_cast_you",Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",7879,0,17,2025-10-05
am_olivia_dean_man_i_need,Man I Need,Olivia Dean,7731,0,18,2025-10-05
"am_huntr/x,_ejae,_audrey_nuna,_rei_ami_&_kpop_demon_hunters_cast_what_it_sounds_like",What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",6658,0,19,2025-10-05
"am_huntr/x,_ejae,_audrey_nuna,_rei_ami_&_kpop_demon_hunters_cast_takedown",Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",6544,0,20,2025-10-05
am_tate_mcrae_tit_for_tat,TIT FOR TAT,Tate McRae,6248,0,21,2025-10-05
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,5772,0,22,2025-10-05
am_sabrina_carpenter_manchild,Manchild,Sabrina Carpenter,5716,0,23,2025-10-05
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,5684,0,24,2025-10-05
am_sabrina_carpenter_tears,Tears,Sabrina Carpenter,5604,0,25,2025-10-05
am_tate_mcrae_just_keep_watching,Just Keep Watching,Tate McRae,5529,0,26,2025-10-05
am_sombr_back_to_friends,back to friends,sombr,5293,0,27,2025-10-05
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,5285,0,28,2025-10-05
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,5143,0,29,2025-10-05
"am_rumi,_jinu,_ejae,_andrew_choi_&_kpop_demon_hunters_cast_free",Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",5121,0,30,2025-10-05
am_blackpink_jump,JUMP,BLACKPINK,5026,0,31,2025-10-05
am_disco_lines_&_tinashe_no_broke_boys,No Broke Boys,Disco Lines & Tinashe,4899,0,32,2025-10-05
am_sombr_12_to_12,12 to 12,sombr,4707,0,33,2025-10-05
am_justin_bieber_daisies,DAISIES,Justin Bieber,4702,0,34,2025-10-05
am_raye_where_is_my_husband,WHERE IS MY HUSBAND,RAYE,4258,0,35,2025-10-05
am_bad_bunny_dtmf,DtMF,Bad Bunny,4125,0,36,2025-10-05
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,4116,0,37,2025-10-05
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,4000,0,38,2025-10-05
am_lady_gaga_the_dead_dance,The Dead Dance,Lady Gaga,3488,0,39,2025-10-05
am_teddy_swims_lose_control,Lose Control,Teddy Swims,3399,0,40,2025-10-05
am_ed_sheeran_shape_of_you,Shape of You,Ed Sheeran,3379,0,41,2025-10-05
am_ed_sheeran_perfect,Perfect,Ed Sheeran,3334,0,42,2025-10-05
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,3292,0,43,2025-10-05
