song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,17689,0,1,2025-04-19
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,16161,0,2,2025-04-19
am_alex_warren_ordinary,Ordinary,Alex Warren,13406,0,3,2025-04-19
am_doechii_anxiety,Anxiety,Doechii,13061,0,4,2025-04-19
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,12139,0,5,2025-04-19
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,11240,0,6,2025-04-19
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,11061,0,7,2025-04-19
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,10509,0,8,2025-04-19
am_lola_young_messy,Messy,Lola Young,10248,0,9,2025-04-19
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,9754,0,10,2025-04-19
am_drake_nokia,NOKIA,Drake,9227,0,11,2025-04-19
am_lady_gaga_abracadabra,Abracadabra,Lady Gaga,9117,0,12,2025-04-19
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,8533,0,13,2025-04-19
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,8271,0,14,2025-04-19
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,7883,0,15,2025-04-19
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,7702,0,16,2025-04-19
am_ed_sheeran_azizam,Azizam,Ed Sheeran,6913,0,17,2025-04-19
am_jennie_like_jennie,like JENNIE,JENNIE,6794,0,18,2025-04-19
am_teddy_swims_lose_control,Lose Control,Teddy Swims,6767,0,19,2025-04-19
am_chappell_roan_pink_pony_club,Pink Pony Club,Chappell Roan,6546,0,20,2025-04-19
am_wizthemc_&_bees_&_honey_show_me_love,Show Me Love,WizTheMc & bees & honey,6481,0,21,2025-04-19
am_bad_bunny_dtmf,DtMF,Bad Bunny,6403,0,22,2025-04-19
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,6390,0,23,2025-04-19
am_tate_mcrae_sports_car,Sports car,Tate McRae,5886,0,24,2025-04-19
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,5818,0,25,2025-04-19
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,4809,0,26,2025-04-19
am_ariana_grande_twilight_zone,twilight zone,Ariana Grande,4668,0,27,2025-04-19
am_hozier_too_sweet,Too Sweet,Hozier,4141,0,28,2025-04-19
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,4098,0,29,2025-04-19
am_tate_mcrae_revolving_door,Revolving door,Tate McRae,4069,0,30,2025-04-19
