song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Anpanman,BTS,22,0,22,2025-12-08
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",130,0,130,2025-12-08
All I Want for Christmas Is You,Mariah Carey,814,0,814,2025-12-08
The Fate of Ophelia,Taylor Swift,59,0,59,2025-12-08
Ordinary,Alex Warren,304,0,304,2025-12-08
Last Christmas,Wham!,621,0,621,2025-12-08
WHERE IS MY HUSBAND,RAYE,80,0,80,2025-12-08
Man I Need,Olivia Dean,114,0,114,2025-12-08
Opalite,Taylor Swift,45,0,45,2025-12-08
Turn the Lights Off,Kato,7,0,7,2025-12-08
Running Up That Hill,Kate Bush,241,0,241,2025-12-08
Merry Christmas,Ed Sheeran & Elton John,183,0,183,2025-12-08
Feliz Navidad,José Feliciano,262,0,262,2025-12-08
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",59,0,59,2025-12-08
It's Beginning to Look a Lot Like Christmas,Michael Bublé,336,0,336,2025-12-08
Zoo,Shakira,11,0,11,2025-12-08
Snowman,Sia,293,0,293,2025-12-08
Underneath the Tree,Kelly Clarkson,217,0,217,2025-12-08
Driving Home for Christmas,Chris Rea,402,0,402,2025-12-08
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",170,0,170,2025-12-08
So Easy,Olivia Dean,60,0,60,2025-12-08
Nothin',Guns N' Roses,3,0,3,2025-12-08
Giving Her Away,Luke Combs,3,0,3,2025-12-08
Die With A Smile,Lady Gaga & Bruno Mars,479,0,479,2025-12-08
Do They Know It's Christmas,Band Aid,300,0,300,2025-12-08
Jingle Bell Rock,Bobby Helms,229,0,229,2025-12-08
Good Goodbye,HWASA,24,0,24,2025-12-08
Hot in December,Kylie Minogue,3,0,3,2025-12-08
12 to 12,sombr,119,0,119,2025-12-08
No Broke Boys,Disco Lines & Tinashe,170,0,170,2025-12-08
Merry Christmas Everyone,Shakin' Stevens,227,0,227,2025-12-08
Mystical Magical,Benson Boone,227,0,227,2025-12-08
33 Max Verstappen,Carte Blanq & Maxx Power,29,0,29,2025-12-08
Pink Pony Club,Chappell Roan,504,0,504,2025-12-08
Fairytale of New York,The Pogues,234,0,234,2025-12-08
Santa Tell Me,Ariana Grande,284,0,284,2025-12-08
APT.,ROSÉ & Bruno Mars,416,0,416,2025-12-08
Beautiful Things,Benson Boone,689,0,689,2025-12-08
Stranger Things,Kyle Dixon & Michael Stein,14,0,14,2025-12-08
Berghain,"ROSALÍA, Björk & Yves Tumor",41,0,41,2025-12-08
Choosin' Texas,Ella Langley,52,0,52,2025-12-08
CHANEL,Tyla,28,0,28,2025-12-08
The Dead Dance,Lady Gaga,96,0,96,2025-12-08
Rockin' Around the Christmas Tree,Brenda Lee,247,0,247,2025-12-08
Abracadabra,Lady Gaga,308,0,308,2025-12-08
Atlas,Guns N' Roses,3,0,3,2025-12-08
I Don't Care,Cain Walker,24,0,24,2025-12-08
Let It Snow Let It Snow Let It Snow,Dean Martin,32,0,32,2025-12-08
Silver Springs,Fleetwood Mac,11,0,11,2025-12-08
Messy,Lola Young,383,0,383,2025-12-08
Sapphire,Ed Sheeran,185,0,185,2025-12-08
A Thousand Years,Christina Perri,2585,0,2585,2025-12-08
What's Up,4 Non Blondes,134,0,134,2025-12-08
Lose Control,Teddy Swims,882,0,882,2025-12-08
I Run,HAVEN. & Kaitlin Aragon,11,0,11,2025-12-08
La Perla,ROSALÍA & Yahritza Y Su Esencia,31,0,31,2025-12-08
Don't Tread On Me,Cain Walker,43,0,43,2025-12-08
Sleigh Ride,Vindaloo Singh,32,0,32,2025-12-08
"Küss mich, halt mich, lieb mich","Ella Endlich, Felix Harrer & Jaques Raupé",3,0,3,2025-12-08
For Good,Cynthia Erivo & Ariana Grande,17,0,17,2025-12-08
End of Beginning,Djo,183,0,183,2025-12-08
Wonderful Dream,Melanie Thornton,178,0,178,2025-12-08
Wild Woman,"Aerosmith, YUNGBLUD & Lainey Wilson",2,0,2,2025-12-08
Carol of the Bells,John Williams,44,0,44,2025-12-08
Stand By Me,Stephen Wilson Jr.,34,0,34,2025-12-08
Die On This Hill,SIENNA SPIRO,21,0,21,2025-12-08
End of the World,Miley Cyrus,247,0,247,2025-12-08
Thunderstruck,Ac/Dc,923,0,923,2025-12-08
Stay,Myles Smith,72,0,72,2025-12-08
恆星不忘 Forever Forever,"Jay Chou, Jerry Yan, Van Ness Wu, Vic Chou & Ashin Chen",3,0,3,2025-12-08
Zoo,Disney & Shakira,11,0,11,2025-12-08
AI NO KATAMARI,DOMOTO,5,0,5,2025-12-08
It's the Most Wonderful Time of the Year,Andy Williams,85,0,85,2025-12-08
BBUU,PLAVE,7,0,7,2025-12-08
Happy Xmas,John Lennon & Yoko Ono,77,0,77,2025-12-08
Christmas Lights,Coldplay,182,0,182,2025-12-08
Soleil Bleu,Bleu Soleil & LUIZA,156,0,156,2025-12-08
NOT CUTE ANYMORE,ILLIT,14,0,14,2025-12-08
IRIS OUT,Kenshi Yonezu,66,0,66,2025-12-08
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",136,0,136,2025-12-08
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",120,0,120,2025-12-08
Never Enough,Loren Allred,497,0,497,2025-12-08
Der Morgen danach,Maite Kelly,47,0,47,2025-12-08
A Bar Song,Shaboozey,605,0,605,2025-12-08
Lose Yourself,Eminem,561,0,561,2025-12-08
LAVALAVA,Number_i,8,0,8,2025-12-08
Gute Laune,GroßstadtEngel,52,0,52,2025-12-08
Home,Glockenbach & Tom Walker,75,0,75,2025-12-08
Church,JADE,3,0,3,2025-12-08
BIRDS OF A FEATHER,Billie Eilish,570,0,570,2025-12-08
Think About Us,"Sonny Fodera, D.O.D & Poppy Baskcomb",30,0,30,2025-12-08
Never Romantic,Naniwa Danshi,1,0,1,2025-12-08
Wackelkontakt,Oimara,300,0,300,2025-12-08
Eye of the Tiger,Survivor,237,0,237,2025-12-08
Formula 1 Theme,Brian Tyler,8,0,8,2025-12-08
undressed,sombr,206,0,206,2025-12-08
Wondering Why,The Red Clay Strays,95,0,95,2025-12-08
JUMP,BLACKPINK,148,0,148,2025-12-08
NOKIA,Drake,287,0,287,2025-12-08
Hallelujah,Pentatonix,307,0,307,2025-12-08
Sweet Caroline,Neil Diamond,194,0,194,2025-12-08
Always Remember Us This Way,Lady Gaga,2277,0,2277,2025-12-08
Define Myself,Marcus Maison & Mandi Fisher,3,0,3,2025-12-08
Nice To Each Other,Olivia Dean,141,0,141,2025-12-08
Niet Nodig,Flemming & Metejoor,3,0,3,2025-12-08
Suisei,Hoshimachi Suisei,3,0,3,2025-12-08
C'est l'amour que j'attendais,Johnny Hallyday & Michel Berger,4,0,4,2025-12-08
Christmas,Darlene Love,20,0,20,2025-12-08
NON STOP,HANA,4,0,4,2025-12-08
Kids,Kyle Dixon & Michael Stein,11,0,11,2025-12-08
RITORNO AD AMARE,Laura Pausini,3,0,3,2025-12-08
FA9LA,Flipperachi,1,0,1,2025-12-08
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",132,0,132,2025-12-08
